rag_setting,phase,experiment_group,retrieval,description,model,strategy,count,sari_mean,sari_std,bertscore_mean,bertscore_std,bleu_mean,bleu_std,perplexity_mean,perplexity_std,lens_mean,lens_std
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,llama3.2,structured,40,28.5480459307118,2.83333181619757,0.794064739346504,0.0068430448504207,0.0032199539512995,0.0025975110358504,26.1806301355362,10.9938816960292,37.2557258945794,14.846581390716
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,llama3.2,zeroshot,40,28.4556391817682,2.8829197072146,0.792442581057549,0.0107775713888956,0.0028083386504835,0.0018997265295508,24.3978807926178,9.96837267696536,36.4947849078079,14.1448564573006
OpenAI-RAG-k3,Open AI RAG v2,OpenAI-RAG-v2,openai,step 2 - RAG top k=3,llama3.2,constraint,40,28.6233056534008,2.72306782326442,0.795478187501431,0.0090233207809912,0.0028033800415787,0.0023153435487784,24.3571670293808,11.4390744326149,37.1557036205442,14.494808792133
OpenAI-RAG-k3,Open AI RAG v2,OpenAI-RAG-v2,openai,step 2 - RAG top k=3,llama3.2,structured,40,28.7493995047064,2.98308552829663,0.795190770924091,0.0083690546471132,0.0032205322336131,0.002342315519777,23.9219866991043,8.27530113946124,37.6386978186504,11.5223039265098
OpenAI-RAG-k3,Open AI RAG v2,OpenAI-RAG-v2,openai,step 2 - RAG top k=3,llama3.2,zeroshot,40,28.6189392597879,3.30484159568935,0.79432036280632,0.010175477107086,0.0028994057797372,0.0021512877059849,24.3644759654999,11.8067698045456,39.4251968581315,15.0100718033273
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,llama3.2,constraint,40,28.5270875377328,3.07179715994706,0.793840196728706,0.0107560242577527,0.0028231213886671,0.0022073494071095,23.5094536781311,9.72731491695685,35.9221369091454,16.5815025707789
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,llama3.2,structured,40,28.6894215926107,2.87589229937816,0.795241411030293,0.008853820381905,0.0029970244336528,0.0019423980047055,23.1955215930939,10.9381786488689,40.7131017929336,12.8128952095073
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,llama3.2,zeroshot,40,28.7346313271809,2.97409020659438,0.795078986883163,0.0096446791917624,0.0032081394065287,0.0018419434163057,23.6172737121582,6.6646233125643,38.1660114163507,14.7735080837505
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,sonar,constraint,40,42.4656537300173,3.45428068122821,0.892812536656857,0.017408800710157,0.181582668594051,0.0718242502557569,38.2560811519623,11.9164063279381,53.7426713834374,14.5720419406053
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,sonar,structured,40,40.3068814965988,5.68260017357282,0.876020762324333,0.0295429624048172,0.118784283122021,0.082901033428153,38.9424803256989,11.2096532921689,54.1693270920031,14.8380354108422
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,sonar,zeroshot,40,41.5944611738252,5.27257756426991,0.886537052690983,0.0220612269901557,0.150591619049835,0.0771188634564167,41.6526859760284,12.1098749046638,50.111662170264,15.8884461950807
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,sonar,constraint,40,42.8722926321969,4.46038065886358,0.893437892198563,0.0163836724479441,0.195565916546178,0.0845377116801541,38.6817587852478,13.0467985759699,48.6259860473383,14.7966684816261
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,sonar,structured,40,41.1129583252269,5.07417505651606,0.880123846232891,0.0224759045496601,0.125938178257839,0.0672725939466972,36.5433122634888,12.6953086991459,57.2634172029801,17.180758899526
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,sonar,zeroshot,40,40.8785764310806,5.08302296402878,0.885324649512768,0.0210930168364092,0.141255392778898,0.0767990188386336,43.7899496078491,12.8507815790842,49.4674905884024,14.8042860390167
OpenAI-RAG-k3,Open AI RAG v2,OpenAI-RAG-v2,openai,step 2 - RAG top k=3,sonar,constraint,40,40.7551789181729,6.86180357329265,0.876372413337231,0.0337694988209575,0.171786746452695,0.0975524266789456,34.4270851135254,11.7580609272203,42.8238224019104,15.5964121202967
OpenAI-RAG-k3,Open AI RAG v2,OpenAI-RAG-v2,openai,step 2 - RAG top k=3,sonar,structured,40,39.1509820777226,5.74669857566709,0.868470281362534,0.0302626087179109,0.104423518972672,0.0885171733938096,38.3143939495087,15.2507488554879,48.4766222489516,17.2245773458254
OpenAI-RAG-k3,Open AI RAG v2,OpenAI-RAG-v2,openai,step 2 - RAG top k=3,sonar,zeroshot,40,41.5697367008099,3.7491885736364,0.885711979866028,0.0180942792671488,0.153183115964538,0.0830840775798006,40.6725671768188,13.7465336215813,45.6114157577834,15.2588685762823
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,sonar,constraint,40,42.5778451091636,4.34535743725022,0.891077058017254,0.0178281530131437,0.171440738927141,0.0806747671449277,39.8913326740265,10.9089897377003,47.2424375521896,17.0297552938829
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,sonar,structured,40,41.006421831087,5.01966835182345,0.882566145062447,0.0226202611613872,0.120779177622092,0.0588459200345347,38.3211240768433,11.8525955436892,54.255414625418,15.8085408696684
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,sonar,zeroshot,40,41.1745193677876,4.87252126604914,0.885784880816937,0.0213379558482052,0.146860999619567,0.0843409093386202,39.4750189304352,11.8433328909203,52.096175111473,17.3640313674976
