phase,version,model,strategy,description,count,sari_mean,sari_std,bertscore_mean,bertscore_std,bleu_mean,bleu_std,lens_mean,lens_std
PE_v2,v2,gemini-2.0-flash,constraint,step 1 - simple prompt engineering,189,38.6239912776973,3.66663371931708,0.872662596917026,0.0134842828415001,0.0698382994649284,0.0337684699996577,60.7292383392891,12.1516124178728
PE_v2,v2,gemini-2.0-flash,structured,step 1 - simple prompt engineering,189,38.4896367114132,3.94173693188296,0.869970768532425,0.0116184170685312,0.0654645849417431,0.0369073252411261,64.2493764588444,10.8320637632578
PE_v2,v2,gemini-2.0-flash,zeroshot,step 1 - simple prompt engineering,189,39.4324612430497,3.72290087254393,0.875334894530988,0.0127361709527472,0.0785641978753824,0.0346953054000799,64.3481671318365,11.5977075533076
PE_v2,v2,gpt-4o-mini,constraint,step 1 - simple prompt engineering,189,43.3891565878716,4.04853873143149,0.890152731585124,0.01563953289168,0.150170494793993,0.0618628605486414,71.0988173300322,7.35687862715452
PE_v2,v2,gpt-4o-mini,structured,step 1 - simple prompt engineering,189,39.6718271722589,4.29588589365195,0.878245581079412,0.0136754259450856,0.0897196046349771,0.0488562969278007,74.9255086558987,6.39603746346147
PE_v2,v2,gpt-4o-mini,zeroshot,step 1 - simple prompt engineering,189,41.3127487473991,4.57889189457821,0.881107082709353,0.0215584066760387,0.115830602111091,0.0533639811687842,68.0523981607052,8.81181968897901
PE_v2,v2,llama3.2,constraint,step 1 - simple prompt engineering,189,34.3057905908563,3.61505248058993,0.85971869813635,0.0122602945559775,0.0333804191250878,0.0262662094047134,72.6426379209539,7.17137712972694
PE_v2,v2,llama3.2,structured,step 1 - simple prompt engineering,189,34.9449346575756,3.56356686356418,0.859322782862123,0.0122991436881755,0.0407626521770159,0.0259257231237974,69.4367252256374,9.2406980396011
PE_v2,v2,llama3.2,zeroshot,step 1 - simple prompt engineering,189,33.962222892433,3.75264191273807,0.851166323628477,0.0164171081064052,0.031309926497056,0.0220164907991314,65.6334683134229,13.4770538643138
PE_v2,v2,sonar,constraint,step 1 - simple prompt engineering,189,40.9294557170688,4.54648503930725,0.86674087356638,0.0210516202959422,0.139036092591531,0.0769094345921974,39.559245881774,21.4369097246473
PE_v2,v2,sonar,structured,step 1 - simple prompt engineering,189,37.4714375397323,4.43341004409778,0.860195031557134,0.0201457337047303,0.0587619443742474,0.0384728764822129,45.8237371358175,18.7535356709347
PE_v2,v2,sonar,zeroshot,step 1 - simple prompt engineering,189,39.3706608571142,4.26479959245719,0.874317011820576,0.0168790372346701,0.0941905380903174,0.05739390975454,42.6440863713939,19.0252836056082
