model,version,description,strategy,item_id,bertscore,bleu,sari,perplexity,fkgl_delta,fre_delta,fkgl_input,fkgl_output,fre_input,fre_output,lens,phase,experiment_group,retrieval
sonar,v3,BGE-RAG-full,structured,b7c722ee-4110-4635-b1d6-26c24c8d3380,0.864381909370422,0.0548874367275023,36.7880204234606,50.9919738769531,-9.28280171462524,31.4784581812523,13.3505396825397,4.06773796791444,45.5227566137567,77.0012147950089,43.052543968057,BGE RAG v3,BGE-RAG,bge
sonar,v3,E5-RAG-full,constraint,f9fa6b86-c61b-4846-9ed7-4cbf48a5ee88,0.914246678352356,0.345261690437682,39.5469573843397,27.1462078094482,-3.52241003057418,9.73285980757903,10.1351373033015,6.61272727272727,61.6678977681786,71.4007575757576,65.3417756948262,E5 RAG v3,E5-RAG,e5
sonar,v3,E5-RAG-full,structured,eb4e34fd-df73-4aca-9398-10c22ded5414,0.851990103721619,0.0141576398937266,32.77540177157,26.3124675750732,-8.5432365147803,33.1285101662054,13.8709082473031,5.3276717325228,40.4797755480803,73.6082857142857,77.8317911436222,E5 RAG v3,E5-RAG,e5
sonar,v3,E5-RAG-full,structured,3a060cd3-bab9-487a-8ead-e5e4e9533fb4,0.895847976207733,0.259587289187441,40.6645224043197,24.8483047485352,-5.43448517971755,17.0004117200618,10.0616105056878,4.62712532597024,61.4220802265558,78.4224919466176,39.2196103983038,E5 RAG v3,E5-RAG,e5
llama3.2,v3,E5-RAG-full,zeroshot,7483ce90-b82e-4c87-8fa1-baad08b10f00,0.787690460681915,0.000575104381732993,27.3323330612524,18.9391555786133,2.62985867786204,-25.0249946613789,11.3453282828283,13.9751869606903,57.8046590909091,32.7796644295302,44.116097587365,E5 RAG v3,E5-RAG,e5
sonar,v3,E5-RAG-full,constraint,3a060cd3-bab9-487a-8ead-e5e4e9533fb4,0.906061708927155,0.441589569926991,40.5709918558007,23.9971790313721,-4.16371039769643,11.9718541686926,10.0616105056878,5.89790010799136,61.4220802265558,73.3939343952484,54.1958996388748,E5 RAG v3,E5-RAG,e5
sonar,v3,E5-RAG-full,constraint,8a8f3f1b-3bb1-489e-a6ea-6de56b447582,0.881156444549561,0.169370258365654,44.0798607213434,24.6096305847168,-6.00698288142512,20.9080123632383,10.9679537087805,4.96097082735533,55.7693692723428,76.6773816355811,52.3780187105245,E5 RAG v3,E5-RAG,e5
gpt-4o-mini,v3,BGE-RAG-full,constraint,48f9dc5a-3d66-4214-9feb-d018ced759e4,0.902909755706787,0.198783125676697,46.8044165134587,27.3356456756592,-3.17162982199859,10.508741492182,11.9550819672131,8.78345214521452,45.5665027322405,56.0752442244225,70.7326709125976,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,zeroshot,046eac31-87a0-45b5-9646-5ac85264f32d,0.881047010421753,0.124362421380762,44.2521657239439,26.9219665527344,-4.32694797297297,17.1917621621621,12.611722972973,8.284775,45.8309628378379,63.022725,73.817696220823,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,constraint,907dfe2b-3861-4ff0-afcd-96ffd7e73e34,0.892526984214783,0.226080360776565,46.6133893590701,35.1303062438965,-6.14396159381767,20.1708268888633,11.9326268390202,5.78866524520256,57.2567765226505,77.4276034115139,75.5478844800672,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,structured,e16d0245-d26e-49a5-aa1e-f48eb0da88cf,0.86177009344101,0.0251980560838605,37.8341494579982,35.5197906494141,-2.84843199493692,11.560075730734,9.75240354206199,6.90397154712507,54.4448481973435,66.0049239280775,82.3653797373748,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,zeroshot,c52ee99a-e405-4069-88c8-12ce936eacbc,0.923335134983063,0.277132597553243,47.806072700087,34.7428779602051,-4.11720980718712,18.7692323805199,10.6380360277402,6.52082622055309,54.3549755402722,73.1242079207921,63.1889173527854,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,constraint,b7c722ee-4110-4635-b1d6-26c24c8d3380,0.88750684261322,0.0882080533196607,40.2918216339441,26.3957347869873,-5.04353014381531,14.4173248925076,13.3505396825397,8.30700953872438,45.5227566137567,59.9400815062642,70.8595733123944,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,constraint,ca5fa8ce-8b1e-4f78-89f5-dfc9706e4cc8,0.910208284854889,0.228519485340988,48.1620033157961,24.6076545715332,-4.43209954914208,15.7064926261221,10.2672813673239,5.83518181818182,61.8085982829688,77.5150909090909,67.5199746038945,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,structured,b7c722ee-4110-4635-b1d6-26c24c8d3380,0.817823708057404,0.00331293784702538,30.6545346927606,37.9770469665527,-6.06763232559146,19.1139386632643,13.3505396825397,7.28290735694823,45.5227566137567,64.6366952770209,63.3187381995804,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,constraint,f9fa6b86-c61b-4846-9ed7-4cbf48a5ee88,0.895693361759186,0.160552432988941,42.220291972109,29.6012668609619,-4.61642828690801,16.4632258657012,10.1351373033015,5.51870901639344,61.6678977681786,78.1311236338798,71.1635020529074,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,structured,3a060cd3-bab9-487a-8ead-e5e4e9533fb4,0.863102555274963,0.0243285357436536,27.4586739800761,26.2302837371826,-3.85289531581438,10.233271039267,10.0616105056878,6.20871518987342,61.4220802265558,71.6553512658228,74.4822116690564,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,structured,9310a2bc-b0e1-44dc-86ed-5a0d8edb99f1,0.888282299041748,0.115829523566854,40.6150377667137,21.4610080718994,-5.15193151676204,23.9579187373455,13.3016336336336,8.14970211687159,39.2371351351352,63.1950538724807,76.4378520983022,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,constraint,8e6d15b7-de29-4c65-8d40-d0660c5680f6,0.873346865177155,0.109874276358957,40.6126205935913,23.8465766906738,-7.28557873579741,25.2499336419926,15.4458189450119,8.16024020921448,36.2812399608227,61.5311736028154,77.7443975129728,BGE RAG v3,BGE-RAG,bge
llama3.2,v3,BGE-RAG-full,structured,8006ce35-7f22-4d5e-acf0-3540c32f66f3,0.773811757564545,0.00213313846735546,24.7433345454204,31.5786724090576,3.78345425361156,-24.5301235955056,8.48371428571429,12.2671685393258,63.347,38.8168764044944,30.1779730359061,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,structured,46869d9e-016c-46ef-944a-ac2b8255c627,0.878020584583282,0.0831687980679723,39.7891896975606,17.7513236999512,-1.49740941028576,0.425064265457465,9.95692553931802,8.45951612903226,61.5942099280909,62.0192741935484,73.592996147256,BGE RAG v3,BGE-RAG,bge
llama3.2,v3,BGE-RAG-full,zeroshot,8e6d15b7-de29-4c65-8d40-d0660c5680f6,0.800519406795502,0.00227066740754847,30.587074041288,21.1149005889893,3.33448408529114,-22.4307854153682,15.4458189450119,18.780303030303,36.2812399608227,13.8504545454546,32.2704095516621,BGE RAG v3,BGE-RAG,bge
llama3.2,v3,BGE-RAG-full,constraint,92263143-88ab-40cc-8db7-14d0d4309857,0.791953325271606,0.00585843849504413,28.8080114980301,16.0434093475342,-2.6899002759943,4.82894580578035,13.446339986911,10.7564397109167,51.8139602421466,56.642906047927,13.9507217935252,BGE RAG v3,BGE-RAG,bge
llama3.2,v3,BGE-RAG-full,constraint,a433a649-8440-4b43-a834-f6ace7c927a6,0.781298816204071,0.00153361358824813,32.1514253614666,28.8226680755615,-1.99775959237496,-4.33624014603163,13.138658568788,11.140898976413,46.7496980899569,42.4134579439253,13.8538686317709,BGE RAG v3,BGE-RAG,bge
llama3.2,v3,BGE-RAG-full,constraint,bb974d41-cebc-4517-b191-9e5e655082ed,0.803469061851501,0.00572105576689072,29.444268766476,26.9892921447754,-2.34944715006182,4.41501537978283,13.3709300693165,11.0214829192547,47.4738549618321,51.8888703416149,64.0739063815296,BGE RAG v3,BGE-RAG,bge
llama3.2,v3,BGE-RAG-full,constraint,6384d603-ea8a-4dd9-8f11-9c29ff53e2a7,0.781580030918121,0.000102071785681603,24.0447924727428,34.4639854431152,17.2076259063296,-48.6321608329942,14.0566598079561,31.2642857142857,44.2228751187085,-4.40928571428569,20.5892423977034,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,structured,fc62cc95-04c5-43ed-bbb6-4c0a764ce22c,0.885873973369598,0.113568262289035,43.9580923833225,21.9723720550537,-6.36015171593226,25.677783259551,12.0914851715449,5.73133345561262,45.8777394843962,71.5555227439472,76.9994820447856,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,constraint,12d0e40d-427e-4141-b6d0-35c73bc81a06,0.901259660720825,0.200482344324223,48.3448025852095,27.5475254058838,-6.80741508928035,27.601139707405,8.71158130622585,1.90416621694549,65.2295888408951,92.8307285483001,69.5021951794996,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,zeroshot,e16d0245-d26e-49a5-aa1e-f48eb0da88cf,0.87577497959137,0.0878808934874438,43.1362153471958,35.2020568847656,-6.12977891079355,29.7402391920371,9.75240354206199,3.62262463126844,54.4448481973435,84.1850873893805,85.0770024264958,BGE RAG v3,BGE-RAG,bge
llama3.2,v3,BGE-RAG-full,structured,98ef0db1-7547-4b67-be3d-f9d8cb0b0d13,0.786447107791901,0.000824541471689323,22.6632493407697,19.2218246459961,4.91302991126521,-31.4188454192866,9.60153846153846,14.5145683728037,60.9559615384616,29.537116119175,39.9201353701478,BGE RAG v3,BGE-RAG,bge
sonar,v3,BGE-RAG-full,zeroshot,fc62cc95-04c5-43ed-bbb6-4c0a764ce22c,0.924029409885406,0.253664567091824,48.1466522754127,39.4710731506348,-5.30141424955906,19.1061494044927,12.0914851715449,6.79007092198582,45.8777394843962,64.9838888888889,63.6638909872189,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,constraint,0fda55b9-df6f-4212-9088-009fa67cbda5,0.880505800247192,0.114291337031996,35.7931941029133,30.0609531402588,-3.89895992222564,15.0131917166195,6.3284019525802,2.42944203035456,75.2322012552301,90.2453929718496,62.5562212438861,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,zeroshot,0fda55b9-df6f-4212-9088-009fa67cbda5,0.876515448093414,0.0761191892454631,34.5670690195595,20.3811168670654,-3.68997039989929,12.9897558899326,6.3284019525802,2.63843155268091,75.2322012552301,88.2219571451627,71.1978960034991,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,constraint,b7c722ee-4110-4635-b1d6-26c24c8d3380,0.878183543682098,0.0529204284983672,37.865868348024,23.779842376709,-9.21125116912933,34.4392312736677,13.3505396825397,4.13928851341035,45.5227566137567,79.9619878874243,61.0409129015741,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,constraint,ca5fa8ce-8b1e-4f78-89f5-dfc9706e4cc8,0.883177936077118,0.0899926350876297,41.0784321999303,31.1666889190674,-7.3961719448315,28.6147350503645,10.2672813673239,2.8711094224924,61.8085982829688,90.4233333333333,58.9473889066574,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,zeroshot,8a8f3f1b-3bb1-489e-a6ea-6de56b447582,0.884613633155823,0.145031516143486,43.6816565492827,32.785831451416,-8.19610748266081,34.2151648648323,10.9679537087805,2.77184622611964,55.7693692723428,89.9845341371751,70.1921501621822,BGE RAG v3,BGE-RAG,bge
