model,version,description,strategy,count,count_with_bertscore,bertscore_mean,bertscore_std,bleu_mean,bleu_std,sari_mean,sari_std,perplexity_mean,perplexity_std,lens_mean,lens_std,fkgl_delta_mean,fkgl_delta_std,fre_delta_mean,fre_delta_std,fkgl_output_mean,fre_output_mean,phase,experiment_group,retrieval
claude-haiku-4-5,v3,step 2 - RAG top k=3 with upgrated prompt,constraint,40,40,0.894691497087479,0.0151993488452829,0.21057646644222,0.0710016147504973,44.5564696213657,3.83335023857709,28.7386330127716,5.93678318708116,70.8131225331568,6.49483696112853,-5.23709988726072,1.64553801252273,16.7772938413999,6.83430889465915,6.31516024183606,69.4161468592759,Open AI RAG v3,OpenAI-RAG-v3,openai
claude-haiku-4-5,v3,step 2 - RAG top k=3 with upgrated prompt,structured,40,40,0.889722818136215,0.0123488699912829,0.170220210583928,0.0533474480811486,43.7756553112962,2.86885653612059,26.308403968811,5.05560719181288,71.8879848420634,6.62355816720715,-5.77197619803391,1.71705574461056,19.1200656695154,7.39246273759111,5.78028393106287,71.7589186873914,Open AI RAG v3,OpenAI-RAG-v3,openai
claude-haiku-4-5,v3,step 2 - RAG top k=3 with upgrated prompt,zeroshot,40,40,0.886256736516952,0.0145014543300539,0.165965649956554,0.0674241734033496,42.8658883024333,4.40075826656523,29.3216278791428,5.95618719489581,72.7217598053656,6.65377241167804,-5.6381053410592,1.88039279595712,19.1224144467588,8.16855915555682,5.91415478803758,71.7612674646347,Open AI RAG v3,OpenAI-RAG-v3,openai
gemini-2.0-flash,v1,step 1 - simple prompt engineering,constraint,189,189,0.869407521984565,0.0125096950917786,0.0651737123295609,0.0319157526671393,38.1358376227526,3.61568282963099,28.5775543445002,6.92867272289843,57.5338640981295,13.4706087714522,-8.52057365925297,1.79219450273543,34.7825914975218,8.42095170379926,2.73711121958042,88.0917118146087,PE_v1,PE-v1,none
gemini-2.0-flash,v1,step 1 - simple prompt engineering,structured,189,189,0.845285221382424,0.0124072496667123,0.029070643602299,0.0215992620307355,34.0137300119734,3.31606002585988,22.1711504446766,4.35737355917751,64.2245974916103,11.2814619287173,-5.76024120888603,2.02746531590424,23.7109898764042,9.77030567138195,5.49744366994737,77.0201101934912,PE_v1,PE-v1,none
gemini-2.0-flash,v1,step 1 - simple prompt engineering,zeroshot,189,189,0.850409355113115,0.0107830084117996,0.0250038062073277,0.0200533922004886,33.8201930404911,3.35964630331263,20.3047599641104,4.81708860108596,67.5750116756156,10.3522991494593,-7.42351723849956,1.90663213775164,31.0782997876508,9.21946343808018,3.83416764033384,84.3874201047378,PE_v1,PE-v1,none
gemini-2.0-flash,v1,step 2 - RAG top k=3,constraint,40,40,0.874827906489372,0.0128004669212579,0.0899250334470744,0.0356054903020141,39.6253551671104,3.71076282827966,26.74750893116,5.76223054756733,57.7542840181183,14.5305172608287,-8.56777815958547,1.8403386969556,34.7695022568924,8.24005058333423,2.98448196951131,87.4083552747683,Open AI RAG v2,OpenAI-RAG-v2,openai
gemini-2.0-flash,v2,step 1 - simple prompt engineering,constraint,189,189,0.872662596917026,0.0134842828415001,0.0698382994649284,0.0337684699996577,38.6239912776973,3.66663371931708,27.3753307483814,7.64818836315796,60.7292383392891,12.1516124178728,-8.38144656883963,1.80257933066062,33.8892086167745,8.51195396435905,2.87623830999376,87.1983289338614,PE_v2,PE-v2,none
gemini-2.0-flash,v2,step 1 - simple prompt engineering,structured,189,189,0.869970768532425,0.0116184170685312,0.0654645849417431,0.0369073252411261,38.4896367114132,3.94173693188296,25.1128634296397,6.03926838974076,64.2493764588444,10.8320637632578,-7.6618194384425,1.81404197687683,29.9152078507635,8.40457311287904,3.59586544039089,83.2243281678505,PE_v2,PE-v2,none
gemini-2.0-flash,v2,step 1 - simple prompt engineering,zeroshot,189,189,0.875334894530988,0.0127361709527472,0.0785641978753824,0.0346953054000799,39.4324612430497,3.72290087254393,25.767455883127,7.42409652100745,64.3481671318365,11.5977075533076,-7.924476709036,1.74227955167417,31.614583392118,8.06508818630201,3.33320816979739,84.923703709205,PE_v2,PE-v2,none
gemini-2.0-flash,v2,step 2 - RAG top k=3,structured,40,40,0.877809610962868,0.0124891206932129,0.0966372561426963,0.0395122450411388,40.4127136814472,4.16103562307197,23.7798018932343,6.79032584592396,67.6673997759368,10.260825919193,-7.80682918605971,1.62509947652086,30.2743097243345,7.26202918829176,3.74543094303707,82.9131627422104,Open AI RAG v2,OpenAI-RAG-v2,openai
gemini-2.0-flash,v2,step 2 - RAG top k=3,zeroshot,40,40,0.877556744217873,0.0127799591255387,0.0888375739072393,0.0355863502015129,39.8326447046794,4.02458069418649,24.1687416315079,4.72247892468554,65.4456947303238,13.5332593094801,-8.25251698047691,1.87484246274136,32.6083285171156,8.50097422557424,3.29974314861987,85.2471815349915,Open AI RAG v2,OpenAI-RAG-v2,openai
gemini-2.0-flash,v3,BGE-RAG-full,constraint,40,40,0.88470773845911,0.0116705507914063,0.121542541603646,0.0383210721052588,41.6336057158082,3.69871745805304,27.2752998590469,6.29096607645128,64.6092788608656,7.67502343835946,-8.23345017883175,1.7433395803002,33.5358844590865,7.82419221826252,3.31880995026504,86.1747374769624,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,structured,40,40,0.88577673137188,0.0108563177606816,0.132436608282837,0.0528450073180969,42.4604655227676,4.43813268066509,23.6302985191345,4.70208091782764,70.5815854380148,8.72238860501442,-7.46734404980916,1.76073878859569,29.0362456007726,7.51421188581951,4.08491607928762,81.6750986186485,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,zeroshot,40,40,0.883267351984978,0.0128821908239109,0.0974310785748929,0.0403969627190918,41.4677276124672,4.19080081247877,20.9059213161469,6.50383540078762,67.5404147802297,9.17151651732003,-8.26336924787163,1.80759025402276,33.1757465651901,7.94387821969516,3.28889088122515,85.814599583066,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,E5-RAG-full,constraint,40,40,0.886966410279274,0.0120989147291627,0.125274736193363,0.0456092056592444,42.143997631077,4.00181017514979,26.4626681089401,5.59525614886052,64.4534854112023,10.0423715484349,-8.24140180329907,1.79016861532431,33.4034012003634,7.93113845470359,3.31085832579772,86.0422542182394,E5 RAG v3,E5-RAG,e5
gemini-2.0-flash,v3,E5-RAG-full,structured,40,40,0.88722982853651,0.0135012396658029,0.132308262925979,0.0465355820911011,42.3915482813981,4.5200056323994,23.9992886543274,4.95345895934125,71.3023303523111,5.64841404252602,-7.37506508075782,1.85152815531736,28.7776605735812,7.87496838862584,4.17719504833896,81.4165135914572,E5 RAG v3,E5-RAG,e5
gemini-2.0-flash,v3,E5-RAG-full,zeroshot,40,40,0.882629965245724,0.0115758136325432,0.0962174767687839,0.0373126494926794,40.9619678028241,3.58577103381233,23.0688838720322,7.06129160406292,65.7927826854176,11.9149285389379,-8.19074737825701,1.74135943503406,32.4721413655341,7.7475834286983,3.36151275083977,85.1109943834101,E5 RAG v3,E5-RAG,e5
gemini-2.0-flash,v3,step 2 - RAG top k=3 with upgrated prompt,constraint,40,40,0.8847462490201,0.0118482792273773,0.123672691999764,0.0355328406703948,42.0621711545723,3.733005168019,26.6319291591644,5.94902013538409,64.7435056203183,10.0871103646295,-8.09847263738944,1.80683886370215,32.6477374009512,7.80158994321848,3.45378749170734,85.2865904188271,Open AI RAG v3,OpenAI-RAG-v3,openai
gemini-2.0-flash,v3,step 2 - RAG top k=3 with upgrated prompt,structured,40,40,0.886642096936703,0.0136295995448615,0.131450000537727,0.0457963225492635,42.5687629094681,4.26086780305768,23.4348793029785,4.98567468541054,72.8699020381878,7.37462276567427,-7.42980019412046,1.73610250460587,29.1424353586814,7.65025661349311,4.12245993497633,81.7812883765574,Open AI RAG v3,OpenAI-RAG-v3,openai
gemini-2.0-flash,v3,step 2 - RAG top k=3 with upgrated prompt,zeroshot,40,40,0.881947132945061,0.0122940676787748,0.0944767233454412,0.0326728851866038,40.9273991540579,3.61140724040076,21.2341283082962,5.88113242594518,68.5117176085486,8.83049661966347,-8.09405026057557,1.66914213889045,32.062850493263,7.4679151300953,3.45820986852121,84.7017035111389,Open AI RAG v3,OpenAI-RAG-v3,openai
gpt-4o-mini,v1,step 1 - simple prompt engineering,constraint,189,189,0.89121748625286,0.0144059624829293,0.150830787894979,0.0567767896182974,43.5239923466845,3.66093428072407,26.1006912453465,4.9715687265992,69.0658379327981,7.78833754524385,-4.93035296807068,1.45489348407902,18.1616406247653,5.9425746133907,6.32733191076271,71.4707609418522,PE_v1,PE-v1,none
gpt-4o-mini,v1,step 1 - simple prompt engineering,structured,189,189,0.868093779478124,0.0131968325490639,0.0652145489932032,0.0359475617292658,37.4681067434868,3.88541423418792,24.3934623576977,4.94078218022628,72.3349522919793,8.16802791582092,-3.72985616748972,1.63259692722947,14.0817596112621,7.16536442581032,7.52782871134367,67.390879928349,PE_v1,PE-v1,none
